#Freq       VDB(3)    
 12.882E+3  44.759    
 13.183E+3  44.759    
 13.49E+3   44.759    
 13.804E+3  44.759    
 14.125E+3  44.758    
 14.454E+3  44.758    
 14.791E+3  44.758    
 15.136E+3  44.758    
 15.488E+3  44.758    
 15.849E+3  44.758    
 16.218E+3  44.758    
 16.596E+3  44.758    
 16.982E+3  44.758    
 17.378E+3  44.758    
 17.783E+3  44.758    
 18.197E+3  44.757    
 18.621E+3  44.757    
 19.055E+3  44.757    
 19.498E+3  44.757    
 19.953E+3  44.757    
 20.417E+3  44.757    
 20.893E+3  44.756    
 21.38E+3   44.756    
 21.878E+3  44.756    
 22.387E+3  44.756    
 22.909E+3  44.756    
 23.442E+3  44.756    
 23.988E+3  44.755    
 24.547E+3  44.755    
 25.119E+3  44.755    
 25.704E+3  44.755    
 26.303E+3  44.754    
 26.915E+3  44.754    
 27.542E+3  44.754    
 28.184E+3  44.753    
 28.84E+3   44.753    
 29.512E+3  44.753    
 30.2E+3    44.752    
 30.903E+3  44.752    
 31.623E+3  44.752    
 32.359E+3  44.751    
 33.113E+3  44.751    
 33.884E+3  44.75     
 34.674E+3  44.75     
 35.481E+3  44.749    
 36.308E+3  44.749    
 37.154E+3  44.748    
 38.019E+3  44.748    
 38.905E+3  44.747    
 39.811E+3  44.747    
 40.738E+3  44.746    
 41.687E+3  44.745    
 42.658E+3  44.745    
 43.652E+3  44.744    
 44.668E+3  44.743    
 45.709E+3  44.742    
 46.774E+3  44.742    
 47.863E+3  44.741    
 48.978E+3  44.74     
 50.119E+3  44.739    
 51.286E+3  44.738    
 52.481E+3  44.737    
 53.703E+3  44.736    
 54.954E+3  44.735    
 56.234E+3  44.733    
 57.544E+3  44.732    
 58.884E+3  44.731    
 60.256E+3  44.729    
 61.66E+3   44.728    
 63.096E+3  44.726    
 64.565E+3  44.725    
 66.069E+3  44.723    
 67.608E+3  44.721    
 69.183E+3  44.72     
 70.795E+3  44.718    
 72.444E+3  44.716    
 74.131E+3  44.714    
 75.858E+3  44.711    
 77.625E+3  44.709    
 79.433E+3  44.707    
 81.283E+3  44.704    
 83.176E+3  44.702    
 85.114E+3  44.699    
 87.096E+3  44.696    
 89.125E+3  44.693    
 91.201E+3  44.69     
 93.325E+3  44.687    
 95.499E+3  44.683    
 97.724E+3  44.68     
 100.E+3    44.676    
 102.33E+3  44.672    
 104.71E+3  44.668    
 107.15E+3  44.663    
 109.65E+3  44.659    
 112.2E+3   44.654    
 114.82E+3  44.649    
 117.49E+3  44.644    
 120.23E+3  44.639    
 123.03E+3  44.633    
 125.89E+3  44.627    
 128.82E+3  44.621    
 131.83E+3  44.615    
 134.9E+3   44.608    
 138.04E+3  44.601    
 141.25E+3  44.593    
 144.54E+3  44.586    
 147.91E+3  44.578    
 151.36E+3  44.569    
 154.88E+3  44.56     
 158.49E+3  44.551    
 162.18E+3  44.542    
 165.96E+3  44.532    
 169.82E+3  44.521    
 173.78E+3  44.51     
 177.83E+3  44.499    
 181.97E+3  44.487    
 186.21E+3  44.474    
 190.55E+3  44.461    
 194.98E+3  44.448    
 199.53E+3  44.434    
 204.17E+3  44.419    
 208.93E+3  44.403    
 213.8E+3   44.387    
 218.78E+3  44.37     
 223.87E+3  44.353    
 229.09E+3  44.335    
 234.42E+3  44.315    
 239.88E+3  44.296    
 245.47E+3  44.275    
 251.19E+3  44.253    
 257.04E+3  44.231    
 263.03E+3  44.207    
 269.15E+3  44.183    
 275.42E+3  44.158    
 281.84E+3  44.131    
 288.4E+3   44.104    
 295.12E+3  44.075    
 302.E+3    44.045    
 309.03E+3  44.014    
 316.23E+3  43.982    
 323.59E+3  43.949    
 331.13E+3  43.914    
 338.84E+3  43.878    
 346.74E+3  43.84     
 354.81E+3  43.801    
 363.08E+3  43.761    
 371.54E+3  43.719    
 380.19E+3  43.676    
 389.05E+3  43.631    
 398.11E+3  43.584    
 407.38E+3  43.536    
 416.87E+3  43.486    
 426.58E+3  43.434    
 436.52E+3  43.381    
 446.68E+3  43.325    
 457.09E+3  43.268    
 467.74E+3  43.209    
 478.63E+3  43.148    
 489.78E+3  43.085    
 501.19E+3  43.02     
 512.86E+3  42.953    
 524.81E+3  42.884    
 537.03E+3  42.813    
 549.54E+3  42.739    
 562.34E+3  42.664    
 575.44E+3  42.586    
 588.84E+3  42.506    
 602.56E+3  42.424    
 616.6E+3   42.34     
 630.96E+3  42.253    
 645.65E+3  42.164    
 660.69E+3  42.073    
 676.08E+3  41.98     
 691.83E+3  41.884    
 707.95E+3  41.786    
 724.44E+3  41.686    
 741.31E+3  41.583    
 758.58E+3  41.478    
 776.25E+3  41.371    
 794.33E+3  41.262    
 812.83E+3  41.15     
 831.76E+3  41.036    
 851.14E+3  40.919    
 870.96E+3  40.801    
 891.25E+3  40.68     
 912.01E+3  40.557    
 933.25E+3  40.432    
 954.99E+3  40.305    
 977.24E+3  40.176    
 1.E+6      40.044    
 1.0233E+6  39.911    
 1.0471E+6  39.775    
 1.0715E+6  39.638    
 1.0965E+6  39.498    
 1.122E+6   39.357    
 1.1482E+6  39.213    
 1.1749E+6  39.068    
 1.2023E+6  38.921    
 1.2303E+6  38.773    
 1.2589E+6  38.622    
 1.2882E+6  38.47     
 1.3183E+6  38.316    
 1.349E+6   38.161    
 1.3804E+6  38.004    
 1.4125E+6  37.845    
 1.4454E+6  37.685    
 1.4791E+6  37.523    
 1.5136E+6  37.361    
 1.5488E+6  37.196    
 1.5849E+6  37.031    
 1.6218E+6  36.864    
 1.6596E+6  36.696    
 1.6982E+6  36.526    
 1.7378E+6  36.356    
 1.7783E+6  36.184    
 1.8197E+6  36.011    
 1.8621E+6  35.837    
 1.9055E+6  35.662    
 1.9498E+6  35.487    
 1.9953E+6  35.31     
 2.0417E+6  35.132    
 2.0893E+6  34.953    
 2.138E+6   34.774    
 2.1878E+6  34.593    
 2.2387E+6  34.412    
 2.2909E+6  34.23     
 2.3442E+6  34.048    
 2.3988E+6  33.864    
 2.4547E+6  33.68     
 2.5119E+6  33.495    
 2.5704E+6  33.31     
 2.6303E+6  33.124    
 2.6915E+6  32.937    
 2.7542E+6  32.75     
 2.8184E+6  32.563    
 2.884E+6   32.374    
 2.9512E+6  32.186    
 3.02E+6    31.996    
 3.0903E+6  31.807    
 3.1623E+6  31.617    
 3.2359E+6  31.426    
 3.3113E+6  31.235    
 3.3884E+6  31.044    
 3.4674E+6  30.852    
 3.5481E+6  30.66     
 3.6308E+6  30.468    
 3.7154E+6  30.275    
 3.8019E+6  30.082    
 3.8905E+6  29.889    
 3.9811E+6  29.695    
 4.0738E+6  29.501    
 4.1687E+6  29.307    
 4.2658E+6  29.112    
 4.3652E+6  28.918    
 4.4668E+6  28.723    
 4.5709E+6  28.527    
 4.6774E+6  28.332    
 4.7863E+6  28.136    
 4.8978E+6  27.941    
 5.0119E+6  27.745    
 5.1286E+6  27.549    
 5.2481E+6  27.352    
 5.3703E+6  27.156    
 5.4954E+6  26.959    
 5.6234E+6  26.762    
 5.7544E+6  26.565    
 5.8884E+6  26.368    
 6.0256E+6  26.171    
 6.166E+6   25.974    
 6.3096E+6  25.776    
 6.4565E+6  25.578    
 6.6069E+6  25.381    
 6.7608E+6  25.183    
 6.9183E+6  24.985    
 7.0795E+6  24.787    
 7.2444E+6  24.589    
 7.4131E+6  24.391    
 7.5858E+6  24.192    
 7.7625E+6  23.994    
 7.9433E+6  23.795    
 8.1283E+6  23.597    
 8.3176E+6  23.398    
 8.5114E+6  23.2      
 8.7096E+6  23.001    
 8.9125E+6  22.802    
 9.1201E+6  22.603    
 9.3325E+6  22.404    
 9.5499E+6  22.205    
 9.7724E+6  22.006    
 10.E+6     21.807    
 10.233E+6  21.608    
 10.471E+6  21.408    
 10.715E+6  21.209    
 10.965E+6  21.01     
 11.22E+6   20.81     
 11.482E+6  20.611    
 11.749E+6  20.411    
 12.023E+6  20.212    
 12.303E+6  20.012    
 12.589E+6  19.812    
 12.882E+6  19.613    
 13.183E+6  19.413    
 13.49E+6   19.213    
 13.804E+6  19.013    
 14.125E+6  18.814    
 14.454E+6  18.614    
 14.791E+6  18.414    
 15.136E+6  18.214    
 15.488E+6  18.014    
 15.849E+6  17.814    
 16.218E+6  17.614    
 16.596E+6  17.414    
 16.982E+6  17.213    
 17.378E+6  17.013    
 17.783E+6  16.813    
 18.197E+6  16.613    
 18.621E+6  16.412    
 19.055E+6  16.212    
 19.498E+6  16.011    
 19.953E+6  15.811    
 20.417E+6  15.61     
 20.893E+6  15.41     
 21.38E+6   15.209    
 21.878E+6  15.009    
 22.387E+6  14.808    
 22.909E+6  14.607    
 23.442E+6  14.406    
 23.988E+6  14.205    
 24.547E+6  14.004    
 25.119E+6  13.803    
 25.704E+6  13.602    
 26.303E+6  13.401    
 26.915E+6  13.2      
 27.542E+6  12.999    
 28.184E+6  12.797    
 28.84E+6   12.596    
 29.512E+6  12.394    
 30.2E+6    12.193    
 30.903E+6  11.991    
 31.623E+6  11.789    
 32.359E+6  11.588    
 33.113E+6  11.386    
 33.884E+6  11.184    
 34.674E+6  10.981    
 35.481E+6  10.779    
 36.308E+6  10.577    
 37.154E+6  10.374    
 38.019E+6  10.172    
 38.905E+6  9.969     
 39.811E+6  9.7662    
 40.738E+6  9.5632    
 41.687E+6  9.36      
 42.658E+6  9.1568    
 43.652E+6  8.9533    
 44.668E+6  8.7497    
 45.709E+6  8.5459    
 46.774E+6  8.3419    
 47.863E+6  8.1378    
 48.978E+6  7.9334    
 50.119E+6  7.7289    
 51.286E+6  7.5241    
 52.481E+6  7.3191    
 53.703E+6  7.1139    
 54.954E+6  6.9085    
 56.234E+6  6.7027    
 57.544E+6  6.4968    
 58.884E+6  6.2905    
 60.256E+6  6.084     
 61.66E+6   5.8771    
 63.096E+6  5.67      
 64.565E+6  5.4625    
 66.069E+6  5.2546    
 67.608E+6  5.0465    
 69.183E+6  4.8379    
 70.795E+6  4.629     
 72.444E+6  4.4196    
 74.131E+6  4.2099    
 75.858E+6  3.9997    
 77.625E+6  3.789     
 79.433E+6  3.5779    
 81.283E+6  3.3663    
 83.176E+6  3.1541    
 85.114E+6  2.9414    
 87.096E+6  2.7282    
 89.125E+6  2.5144    
 91.201E+6  2.2999    
 93.325E+6  2.0849    
 95.499E+6  1.8692    
 97.724E+6  1.6528    
 100.E+6    1.4357    
